L4 | Thu Feb  7 13:49:58 2019 (931 ms) | general | exiting: Deleting sceneHandler

L4 | Thu Feb  7 13:49:58 2019 (931 ms) | general | Freeing sound sprites

L4 | Thu Feb  7 13:49:58 2019 (931 ms) | general | exiting: freeing frameDrawer

L4 | Thu Feb  7 13:49:58 2019 (987 ms) | general | exiting: Deleting screen

L4 | Thu Feb  7 13:49:58 2019 (987 ms) | general | exiting: freeing drawString

L4 | Thu Feb  7 13:49:58 2019 (987 ms) | general | exiting: calling SDL_Quit()

L4 | Thu Feb  7 13:49:58 2019 (2 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Thu Feb  7 13:49:59 2019 (266 ms) | general | exiting: Done.

L4 | Thu Feb  7 13:49:59 2019 (620 ms) | general | Recording game into file recordedGames/recordedGame000008.txt
L4 | Thu Feb  7 13:49:59 2019 (620 ms) | general | Only keeping 20 past recordings
L4 | Thu Feb  7 13:49:59 2019 (620 ms) | general | Removed 0 stale recordings
L4 | Thu Feb  7 13:51:14 2019 (955 ms) | general | exiting...

L4 | Thu Feb  7 13:51:14 2019 (955 ms) | general | exiting: calling SDL_CloseAudio

L4 | Thu Feb  7 13:51:15 2019 (173 ms) | general | exiting: Deleting sceneHandler

L4 | Thu Feb  7 13:51:15 2019 (173 ms) | general | Freeing sound sprites

L4 | Thu Feb  7 13:51:15 2019 (173 ms) | general | exiting: freeing frameDrawer

L4 | Thu Feb  7 13:51:15 2019 (206 ms) | general | exiting: Deleting screen

L4 | Thu Feb  7 13:51:15 2019 (206 ms) | general | exiting: freeing drawString

L4 | Thu Feb  7 13:51:15 2019 (206 ms) | general | exiting: calling SDL_Quit()

L4 | Thu Feb  7 13:51:15 2019 (231 ms) | general | exiting: Done.

L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | New game starting up
L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | Target game image size:  1280x720

L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | Ideal window dimensions:  1280x720

L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | Trying to start in fullscreen mode.
L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | The following frame rates are considered possible:
L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | 30 fps
L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | 60 fps
L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | 120 fps
L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | 144 fps
L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | Current screen configuration is 800x600 with aspect ratio 1.33
L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | Sticking with user's current screen resolution
L4 | Thu Feb  7 14:02:02 2019 (819 ms) | general | Checking if requested video mode (800x600) is available
